Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,PasPress,Sw,PasCrs,CK,CkIn,CkOut,CkStr,PasGround,PasLow,PasHigh,PaswLeft,PaswRight,PaswHead,TI,PaswOther,PasCmp,PasOff,PasOut,PasInt,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Press,PresSucc,Press%,PresDef3rd,PresMid3rd,PresAtt3rd,Blocks,BlkSh,BlkShSv,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,DriSucc,DriAtt,DriSucc%,DriPast,DriMegs,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,RecTarg,Rec,Rec%,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,date,Valuation,ToAtt,ToSuc,ToSuc%,ToTkl,ToTkl%
2331,Aitor Ruibal,ESP,FWDF,Betis,La Liga,26.0,1996,19,9,856,9.5,0.0,2.0,0.32,15.8,0.0,0.0,18.9,0.0,0.0,0.0,27.6,35.8,77.1,429.9,146.9,15.4,17.7,86.9,9.89,12.3,80.3,1.68,3.37,50.0,0.0,1.05,2.21,1.26,0.21,4.0,35.8,32.9,2.84,0.32,0.0,5.68,0.32,1.89,0.0,0.0,0.0,0.0,26.4,5.58,3.79,2.32,29.3,1.26,2.53,0.11,27.6,0.53,0.95,0.84,1.79,3.16,2.42,0.0,0.42,0.11,0.21,0.0,0.11,0.0,0.0,0.0,0.0,0.11,0.0,2.53,1.58,1.47,0.53,0.53,0.95,3.16,30.0,2.21,20.8,5.58,26.8,6.84,8.74,5.26,1.47,0.0,0.0,1.47,1.68,4.21,0.42,0.0,49.9,1.05,8.63,22.2,22.6,3.16,47.5,1.58,3.68,42.9,2.11,0.11,34.4,147.2,96.3,5.89,1.16,0.42,1.37,1.68,46.7,35.3,75.5,5.68,0.63,0.0,0.0,2.63,2.11,0.11,1.89,1.58,0.0,0.0,0.0,5.68,0.53,2.32,18.5,2021-12-30,3000000.0,,,,,
2396,Federico Santander,PAR,FWDF,Bologna,Serie A,30.0,1991,7,0,67,0.7,1.43,2.86,1.43,50.0,0.5,1.0,12.4,0.0,0.0,0.0,28.6,42.9,66.7,458.6,95.7,14.3,22.9,62.5,8.57,8.57,100.0,2.86,2.86,100.0,0.0,1.43,2.86,1.43,1.43,4.29,42.9,40.0,2.86,0.0,0.0,17.1,0.0,1.43,0.0,0.0,0.0,0.0,21.4,8.57,12.9,2.86,25.7,4.29,0.0,0.0,28.6,0.0,0.0,1.43,4.29,4.29,4.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,2.86,1.43,1.43,0.0,0.0,0.0,0.0,0.0,24.3,5.71,23.5,2.86,7.14,14.3,1.43,1.43,0.0,0.0,1.43,4.29,0.0,0.0,65.7,1.43,4.29,30.0,32.9,5.71,62.9,1.43,2.86,50.0,1.43,0.0,41.4,172.9,55.7,2.86,0.0,0.0,4.29,4.29,70.0,54.3,77.6,10.0,1.43,0.0,0.0,2.86,7.14,0.0,1.43,2.86,0.0,0.0,0.0,2.86,11.4,10.0,53.3,2021-12-28,1000000.0,,,,,
2825,Magnus Warming,DEN,FWDF,Torino,Serie A,21.0,2000,4,0,58,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.3,35.0,52.4,195.0,23.3,11.7,15.0,77.8,3.33,11.7,28.6,0.0,0.0,0.0,0.0,0.0,1.67,0.0,0.0,1.67,35.0,35.0,0.0,0.0,0.0,13.3,0.0,1.67,0.0,0.0,0.0,0.0,23.3,3.33,8.33,10.0,16.7,6.67,0.0,0.0,18.3,0.0,1.67,1.67,3.33,1.67,1.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,1.67,1.67,1.67,1.67,0.0,1.67,0.0,1.67,25.0,8.33,33.3,5.0,3.33,16.7,0.0,0.0,0.0,0.0,0.0,5.0,0.0,0.0,46.7,0.0,6.67,18.3,23.3,6.67,46.7,1.67,3.33,50.0,1.67,0.0,31.7,330.0,208.3,8.33,1.67,3.33,1.67,5.0,50.0,28.3,56.7,10.0,0.0,0.0,0.0,1.67,0.0,1.67,1.67,1.67,0.0,0.0,0.0,13.3,1.67,5.0,25.0,2021-12-28,1000000.0,,,,,
205,Ander Barrenetxea,ESP,FWDF,Real Sociedad,La Liga,21.0,2001,7,2,191,2.1,1.0,0.95,0.95,100.0,0.5,0.5,11.1,0.0,0.0,0.0,24.3,31.9,76.1,330.5,82.9,14.3,16.7,85.7,6.67,7.62,87.5,1.9,2.86,66.7,0.0,0.0,0.48,0.0,0.0,1.9,31.9,28.1,3.81,0.95,0.0,,0.0,0.0,0.48,0.0,0.0,0.0,,,,,,,2.38,,24.3,0.0,,,1.9,0.48,0.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.86,1.43,2.38,0.48,0.0,1.43,3.81,37.5,2.38,,,,,,,1.43,0.0,,1.43,0.95,3.81,0.95,0.0,50.0,1.9,14.3,19.5,17.1,2.38,50.0,,,,,,20.0,151.9,51.0,0.95,1.9,0.48,2.86,1.9,,26.2,,4.76,0.95,0.0,0.0,2.38,0.48,0.0,0.0,1.43,0.0,0.0,0.0,9.52,1.9,4.29,30.8,2022-11-07,6000000.0,4.76,1.43,30.0,3.33,70.0
225,Ihlas Bebou,TOG,FWDF,Hoffenheim,Bundesliga,28.0,1994,5,4,310,3.4,2.0,2.35,1.47,62.5,0.25,0.4,10.2,0.0,0.0,0.0,12.6,20.6,61.4,170.9,30.0,7.65,9.71,78.8,3.24,5.0,64.7,0.59,1.76,33.3,0.0,0.59,1.18,0.59,0.0,1.47,20.6,17.4,2.94,0.0,0.0,,0.0,0.59,0.0,0.0,0.0,0.0,,,,,,,1.18,,12.6,0.29,,,0.59,2.06,2.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.88,0.88,0.29,0.59,0.0,0.0,0.29,0.0,0.29,,,,,,,0.88,0.29,,0.59,1.18,2.06,0.29,0.0,36.2,0.88,2.94,20.3,13.8,3.82,36.2,,,,,,19.4,117.6,42.6,2.06,0.88,1.18,4.12,2.06,,21.8,,7.35,0.0,0.0,0.0,1.47,0.59,0.59,0.59,0.88,0.0,0.29,0.0,4.12,2.06,3.24,38.9,2023-03-29,7000000.0,3.53,0.88,25.0,2.35,66.7
267,Mitchell van Bergen,NED,FWDF,Reims,Ligue 1,23.0,1999,18,5,629,7.0,0.0,2.43,1.29,52.9,0.0,0.0,18.7,0.0,0.0,0.0,16.1,25.9,62.4,234.1,75.0,9.29,11.1,83.3,4.0,7.29,54.9,1.57,4.57,34.4,0.14,1.86,0.71,1.14,0.43,1.43,25.9,22.7,3.14,0.71,0.14,,0.0,5.43,1.71,0.71,1.0,0.0,,,,,,,0.29,,16.1,0.0,,,1.43,2.71,1.86,0.29,0.14,0.14,0.14,0.14,0.43,0.14,0.0,0.0,0.14,0.14,0.0,1.71,0.71,0.71,0.71,0.29,0.86,2.0,42.9,1.14,,,,,,,0.86,0.29,,0.57,0.57,2.29,0.86,0.0,38.4,0.86,6.29,14.0,19.9,3.71,38.4,,,,,,27.3,255.6,129.7,4.14,3.14,1.57,1.86,0.86,,23.1,,7.14,0.14,0.0,0.0,1.0,1.0,0.43,5.43,0.71,0.14,0.14,0.0,6.0,0.29,0.86,25.0,2022-11-02,1500000.0,3.14,0.71,22.7,2.29,72.7
747,Shane Duffy,IRL,FWDF,Fulham,Premier League,31.0,1992,4,0,6,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,40.0,50.0,200.0,90.0,20.0,20.0,100.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.0,40.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,20.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,50.0,0.0,20.0,30.0,0.0,0.0,50.0,,,,,,10.0,10.0,0.0,0.0,0.0,0.0,10.0,0.0,,20.0,,0.0,0.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,10.0,66.7,2022-11-03,2500000.0,0.0,0.0,0.0,0.0,0.0
865,Phil Foden,ENG,FWDF,Manchester City,Premier League,22.0,2000,18,13,1045,11.6,7.0,2.41,1.21,50.0,0.25,0.5,14.2,0.0,0.0,0.0,44.1,54.9,80.2,666.5,117.2,26.2,28.8,91.0,13.2,15.9,83.2,2.76,5.69,48.5,0.34,1.9,2.07,1.9,0.69,4.05,54.9,51.7,2.84,0.26,0.17,,0.34,5.09,1.98,0.26,1.55,0.0,,,,,,,0.6,,44.1,0.34,,,1.55,4.74,3.88,0.52,0.0,0.26,0.09,0.0,0.78,0.78,0.0,0.0,0.0,0.0,0.0,1.03,0.6,0.6,0.34,0.09,0.6,0.78,77.8,0.17,,,,,,,1.03,0.09,,0.95,0.26,1.29,0.43,0.0,65.3,0.69,4.91,22.3,38.8,6.47,65.3,,,,,,42.8,186.9,79.6,1.98,1.72,0.52,1.98,1.9,,52.4,,14.1,0.09,0.0,0.0,0.34,1.38,0.26,5.09,0.6,0.0,0.0,0.0,5.17,1.21,1.47,45.2,2022-11-03,110000000.0,2.5,0.95,37.9,1.29,51.7
1025,Gabriel Gudmundsson,SWE,FWDF,Lille,Ligue 1,23.0,1999,5,1,109,1.2,0.0,0.83,0.0,0.0,0.0,0.0,25.1,0.0,0.0,0.0,24.2,34.2,70.7,386.7,97.5,13.3,15.8,84.2,7.5,11.7,64.3,2.5,5.83,42.9,0.0,3.33,0.83,1.67,1.67,1.67,34.2,31.7,2.5,0.83,0.0,,0.0,5.0,0.0,0.0,0.0,0.0,,,,,,,1.67,,24.2,0.0,,,0.0,4.17,3.33,0.0,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,2.5,0.0,2.5,0.83,0.83,1.67,50.0,0.83,,,,,,,0.83,0.0,,0.83,1.67,5.0,0.0,0.0,45.0,0.83,9.17,18.3,18.3,2.5,45.0,,,,,,27.5,226.7,112.5,5.83,3.33,0.83,0.0,1.67,,28.3,,5.0,0.0,0.0,0.0,1.67,3.33,0.83,5.0,2.5,0.0,0.0,0.0,2.5,0.83,0.0,100.0,2022-11-02,5000000.0,4.17,3.33,80.0,0.83,20.0
1055,Emmanuel Gyasi,GHA,FWDF,Spezia,Serie A,29.0,1994,19,19,1539,17.1,1.0,1.29,0.47,36.4,0.05,0.13,14.3,0.0,0.0,0.0,19.5,24.3,80.2,248.3,47.2,13.2,15.0,87.9,5.32,6.84,77.8,0.29,0.53,55.6,0.0,0.7,0.41,0.35,0.0,1.4,24.3,20.8,3.51,0.18,0.06,,0.06,0.58,0.12,0.0,0.0,0.0,,,,,,,1.87,,19.5,0.0,,,0.7,1.35,1.17,0.0,0.06,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.64,0.35,0.29,0.35,0.0,0.23,0.88,26.7,0.64,,,,,,,0.99,0.23,,0.76,0.18,0.82,0.76,0.0,34.2,0.99,5.73,14.5,14.2,3.27,34.2,,,,,,18.3,93.5,33.7,1.05,1.05,0.58,2.51,1.4,,22.7,,5.2,0.29,0.0,0.0,1.35,0.99,0.94,0.58,0.35,0.0,0.0,0.0,3.68,0.53,1.87,22.0,2022-11-11,2500000.0,1.29,0.29,22.7,0.94,72.7
