Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
29.0,5,1,176,2.0,0.0,1.5,0.5,33.3,0.0,0.0,12.2,0.0,0.0,0.0,14.0,20.0,70.0,186.0,22.5,9.0,10.5,85.7,4.0,6.5,61.5,0.5,1.0,50.0,0.0,1.0,1.5,0.0,0.0,1.0,20.0,18.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,1.5,2.0,1.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.5,0.5,0.0,28.0,0.5,2.0,14.0,14.0,3.0,26.0,17.0,51.0,7.0,0.0,0.0,0.0,3.0,1.0,20.0,5.0,0.5,0.0,0.0,2.5,0.5,1.5,0.0,0.0,0.0,0.0,0.0,4.0,3.5,7.0,33.3,2021-12-30,Centre-Forward,1200000.0
19.0,18,9,796,8.8,0.11,1.25,0.23,18.2,0.09,0.5,10.2,0.0,0.0,0.0,15.8,24.1,65.6,223.5,46.8,8.98,12.7,70.5,5.23,7.27,71.9,0.68,1.7,40.0,0.0,0.45,0.45,0.8,0.34,0.91,24.1,22.0,2.05,0.0,0.11,0.11,1.14,0.0,0.0,0.0,0.0,0.57,15.8,0.23,1.25,1.25,0.91,0.0,0.23,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.05,1.25,0.45,0.8,0.8,0.57,1.93,29.4,1.36,1.02,0.11,0.91,0.91,2.95,0.91,0.11,35.8,1.02,7.39,14.9,15.8,5.23,33.9,20.0,84.5,47.0,1.82,0.34,0.8,2.16,1.82,23.6,6.59,0.0,0.0,0.0,1.82,0.68,0.57,1.14,1.25,0.0,0.0,0.0,4.55,2.16,2.39,47.5,2021-12-28,Centre-Forward,4300000.0
32.0,36,34,2971,33.0,0.3,2.52,0.82,32.5,0.12,0.37,14.3,0.0,0.0,0.03,14.1,21.5,65.8,228.8,44.3,7.76,10.1,76.9,4.39,6.45,68.1,1.36,2.55,53.6,0.24,1.39,0.79,0.97,0.39,1.3,21.5,20.3,1.12,0.09,0.21,0.67,1.64,0.03,0.0,0.0,0.0,0.45,14.1,0.18,1.67,3.09,1.97,0.0,0.39,0.3,0.24,0.18,0.52,0.27,0.0,0.03,0.12,0.06,0.03,0.85,0.7,0.21,0.27,0.36,0.18,0.61,30.0,0.42,0.79,0.03,0.76,0.42,1.27,0.52,0.0,36.1,0.61,2.24,14.5,21.8,5.33,34.9,26.3,133.3,77.3,4.03,1.21,0.94,3.97,2.67,27.2,8.0,0.24,0.03,0.03,1.55,1.91,0.39,1.64,0.7,0.0,0.0,0.0,4.18,2.45,4.39,35.8,2021-12-23,Centre-Forward,12000000.0
20.0,3,0,27,0.3,0.0,3.33,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,16.7,16.7,100.0,303.3,93.3,3.33,3.33,100.0,13.3,13.3,100.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,0.0,10.0,16.7,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.33,3.33,3.33,0.0,40.0,0.0,3.33,6.67,30.0,10.0,40.0,23.3,50.0,0.0,0.0,0.0,0.0,0.0,3.33,20.0,6.67,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.67,3.33,6.67,33.3,2022-05-13,Centre-Forward,6000000.0
25.0,23,17,1413,15.7,0.13,2.99,0.89,29.8,0.04,0.14,17.0,0.0,0.0,0.0,14.2,20.1,70.8,239.7,38.8,6.75,8.66,77.9,6.11,8.09,75.6,1.02,2.04,50.0,0.13,0.76,0.89,0.83,0.0,1.66,20.1,18.1,1.97,0.0,0.06,0.57,1.4,0.0,0.0,0.0,0.0,0.13,14.2,0.06,0.83,1.85,1.08,0.0,0.25,0.25,0.25,0.0,0.19,0.13,0.0,0.0,0.0,0.06,0.0,0.64,0.45,0.19,0.19,0.25,0.0,0.38,0.0,0.38,0.64,0.06,0.57,0.57,1.21,0.38,0.0,31.1,0.51,2.55,12.7,18.4,5.22,29.2,21.7,123.1,67.6,4.08,1.21,1.15,2.17,1.59,22.2,6.94,0.06,0.0,0.0,0.96,0.57,0.13,1.4,0.45,0.06,0.0,0.0,3.63,0.89,2.42,26.9,2022-03-29,Centre-Forward,16000000.0
19.0,2,0,9,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,80.0,75.0,890.0,130.0,40.0,40.0,100.0,10.0,10.0,100.0,10.0,20.0,50.0,0.0,0.0,0.0,0.0,0.0,0.0,80.0,80.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.0,0.0,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90.0,0.0,0.0,40.0,50.0,0.0,90.0,60.0,130.0,20.0,0.0,0.0,0.0,0.0,0.0,90.0,20.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2021-12-31,Centre-Forward,400000.0
34.0,37,36,3087,34.3,0.5,2.45,1.08,44.0,0.17,0.38,15.9,0.2,0.09,0.15,28.5,39.6,71.9,449.8,84.1,16.3,19.8,82.2,7.99,11.2,71.5,2.77,5.25,52.8,0.15,1.75,1.22,1.22,0.29,2.22,39.6,36.7,2.86,1.11,0.06,1.63,2.51,0.87,0.44,0.17,0.06,0.5,28.5,0.17,1.75,3.29,2.59,0.2,0.12,0.2,0.17,0.0,0.44,0.29,0.0,0.03,0.12,0.0,0.0,0.41,0.2,0.09,0.12,0.2,0.12,0.64,18.2,0.52,1.02,0.09,0.93,0.61,1.02,0.41,0.0,49.9,0.67,3.53,21.3,28.3,6.56,47.3,35.0,190.4,105.2,5.6,1.84,1.6,2.22,1.34,38.3,9.5,0.26,0.0,0.0,0.76,1.87,0.58,2.51,0.2,0.0,0.03,0.0,5.63,1.02,1.81,36.1,2021-12-30,Centre-Forward,7000000.0
32.0,17,13,1082,12.0,0.92,3.17,1.67,52.6,0.29,0.55,11.3,0.0,0.0,0.0,15.4,20.3,75.8,223.9,22.1,8.58,11.3,76.3,5.33,6.67,80.0,0.5,0.75,66.7,0.08,0.58,0.5,0.67,0.0,1.0,20.3,18.6,1.75,0.0,0.08,0.0,0.75,0.0,0.0,0.0,0.0,0.08,15.4,0.0,0.33,1.25,1.0,0.0,0.0,0.17,0.0,0.08,0.17,0.17,0.0,0.0,0.0,0.0,0.0,0.17,0.17,0.0,0.08,0.08,0.0,0.17,0.0,0.17,1.42,0.25,1.17,0.42,0.58,0.25,0.0,29.4,0.42,1.25,14.6,14.6,5.25,27.7,17.1,62.3,32.8,1.92,0.33,0.83,1.92,1.0,22.3,9.08,0.0,0.0,0.0,0.58,0.58,0.58,0.75,0.17,0.0,0.0,0.0,2.58,0.75,1.33,36.0,2021-12-23,Centre-Forward,15000000.0
32.0,14,12,1037,11.5,0.35,2.87,1.39,48.5,0.12,0.25,14.2,0.0,0.0,0.17,12.6,17.8,70.7,175.3,33.3,8.17,10.2,80.3,3.48,5.39,64.5,0.7,1.22,57.1,0.09,0.78,0.35,0.87,0.09,1.13,17.8,17.2,0.61,0.0,0.09,0.26,0.78,0.0,0.0,0.0,0.0,0.09,12.6,0.09,0.96,2.0,1.22,0.0,0.09,0.43,0.26,0.0,0.26,0.17,0.0,0.0,0.09,0.0,0.0,1.04,0.61,0.43,0.43,0.17,0.17,0.52,33.3,0.35,1.65,0.26,1.39,0.09,1.13,0.26,0.0,28.0,0.43,2.96,12.3,14.5,4.78,27.2,14.7,89.0,52.2,2.52,0.96,0.78,1.74,0.43,19.6,4.87,0.26,0.0,0.0,1.57,1.04,0.87,0.78,0.61,0.0,0.0,0.0,3.3,2.43,2.78,46.7,2021-12-23,Centre-Forward,15000000.0
24.0,31,29,2174,24.2,0.62,2.73,1.24,45.5,0.2,0.43,12.9,0.0,0.08,0.08,13.8,20.0,69.0,214.3,56.1,7.31,9.5,77.0,4.88,6.9,70.7,0.91,1.61,56.4,0.04,0.99,1.24,0.87,0.12,1.98,20.0,19.6,0.37,0.0,0.25,0.12,0.37,0.0,0.0,0.0,0.0,0.04,13.8,0.08,1.03,2.27,1.65,0.0,0.21,0.29,0.08,0.04,0.21,0.04,0.0,0.08,0.0,0.04,0.04,0.7,0.37,0.12,0.33,0.25,0.04,0.54,7.7,0.5,0.7,0.17,0.54,0.25,0.95,0.95,0.0,35.4,1.2,2.64,17.6,17.6,5.62,35.0,23.7,98.4,52.7,2.6,1.07,0.66,5.0,2.44,26.3,7.77,0.04,0.0,0.0,1.2,1.07,0.87,0.37,0.37,0.04,0.0,0.04,4.5,2.4,5.99,28.6,2021-12-22,Centre-Forward,15000000.0
