Age,MP,Starts,Min,90s,Goals,Shots,SoT,SoT%,G/Sh,G/SoT,ShoDist,ShoFK,ShoPK,PKatt,PasTotCmp,PasTotAtt,PasTotCmp%,PasTotDist,PasTotPrgDist,PasShoCmp,PasShoAtt,PasShoCmp%,PasMedCmp,PasMedAtt,PasMedCmp%,PasLonCmp,PasLonAtt,PasLonCmp%,Assists,PasAss,Pas3rd,PPA,CrsPA,PasProg,PasAtt,PasLive,PasDead,PasFK,TB,Sw,PasCrs,CK,CkIn,CkOut,CkStr,TI,PasCmp,PasOff,PasBlocks,SCA,ScaPassLive,ScaPassDead,ScaDrib,ScaSh,ScaFld,ScaDef,GCA,GcaPassLive,GcaPassDead,GcaDrib,GcaSh,GcaFld,GcaDef,Tkl,TklWon,TklDef3rd,TklMid3rd,TklAtt3rd,TklDri,TklDriAtt,TklDri%,TklDriPast,Blocks,BlkSh,BlkPass,Int,Tkl+Int,Clr,Err,Touches,TouDefPen,TouDef3rd,TouMid3rd,TouAtt3rd,TouAttPen,TouLive,Carries,CarTotDist,CarPrgDist,CarProg,Car3rd,CPA,CarMis,CarDis,Rec,RecProg,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,TklW,PKwon,PKcon,OG,Recov,AerWon,AerLost,AerWon%,Date,Position,Valuation
29.0,34,27,2353,26.1,5.0,1.8,0.61,34.0,0.11,0.31,19.8,0.04,0.0,0.0,63.0,75.7,83.1,1073.6,348.1,31.0,33.7,92.0,24.2,27.7,87.2,6.28,11.6,54.3,0.34,2.41,7.89,1.88,0.27,6.9,75.7,68.0,7.74,3.07,0.46,2.99,1.92,3.91,1.72,1.42,0.11,0.42,63.0,0.23,1.3,4.29,2.91,1.0,0.08,0.11,0.15,0.04,0.61,0.27,0.23,0.04,0.08,0.0,0.0,1.19,0.69,0.34,0.46,0.38,0.42,1.72,24.4,1.3,1.11,0.15,0.96,0.84,2.03,0.23,0.0,83.9,0.88,12.2,47.5,30.8,1.49,76.5,62.4,315.4,186.2,7.66,3.49,0.34,0.61,1.07,65.3,3.83,0.19,0.0,0.0,0.65,1.07,0.04,1.92,0.69,0.0,0.0,0.0,7.13,0.42,0.57,42.3,2021-12-28,Defensive Midfield,32000000.0
31.0,28,25,2183,24.3,0.0,0.29,0.12,42.9,0.0,0.0,24.1,0.0,0.0,0.0,31.2,39.8,78.3,598.4,174.2,11.7,13.7,85.5,14.6,17.5,83.1,4.07,6.46,63.1,0.08,0.62,4.12,0.78,0.08,4.36,39.8,37.2,2.55,0.86,0.0,0.7,0.25,0.0,0.0,0.0,0.0,0.41,31.2,0.21,1.19,1.32,1.28,0.0,0.0,0.0,0.04,0.0,0.25,0.21,0.0,0.0,0.0,0.04,0.0,3.17,2.51,1.28,1.69,0.21,1.07,3.62,29.5,2.55,1.89,0.37,1.52,1.73,4.9,1.65,0.0,50.8,3.33,13.9,31.2,8.64,0.45,48.4,31.4,158.0,83.0,4.36,1.15,0.08,0.78,1.28,27.0,0.78,0.29,0.04,0.0,1.6,1.15,0.0,0.25,2.51,0.04,0.0,0.0,11.2,0.49,0.53,48.0,2022-04-06,Defensive Midfield,6500000.0
23.0,9,5,404,4.5,0.0,0.22,0.22,100.0,0.0,0.0,18.4,0.0,0.0,0.0,46.0,52.0,88.5,804.2,200.0,20.4,22.7,90.2,18.9,20.0,94.4,5.33,7.11,75.0,0.0,0.67,3.78,0.67,0.22,3.78,52.0,51.3,0.67,0.44,0.0,0.89,0.44,0.0,0.0,0.0,0.0,0.22,46.0,0.0,0.67,1.56,1.56,0.0,0.0,0.0,0.0,0.0,0.22,0.22,0.0,0.0,0.0,0.0,0.0,2.0,1.78,0.67,1.11,0.22,0.67,1.11,60.0,0.44,1.11,0.22,0.89,3.11,5.11,2.22,0.0,63.8,3.56,18.0,37.3,12.4,0.89,63.3,41.1,168.7,89.6,4.44,1.78,0.22,1.11,0.89,38.9,1.56,0.0,0.0,0.0,1.33,1.78,0.0,0.44,1.78,0.0,0.0,0.0,13.6,1.56,2.67,36.8,2021-12-23,Defensive Midfield,6000000.0
29.0,10,10,812,9.0,1.0,0.33,0.22,66.7,0.33,0.5,8.3,0.0,0.0,0.0,42.9,48.9,87.7,897.3,232.3,13.6,14.3,94.6,22.8,24.6,92.8,6.22,8.89,70.0,0.0,0.33,1.11,0.0,0.0,1.33,48.9,47.9,1.0,1.0,0.0,1.78,0.0,0.0,0.0,0.0,0.0,0.0,42.9,0.0,0.56,0.56,0.44,0.0,0.0,0.0,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.11,1.11,0.89,0.0,0.67,1.89,35.3,1.22,1.22,0.22,1.0,2.22,4.22,3.33,0.0,58.4,5.44,30.9,30.2,1.44,0.44,57.4,39.9,180.7,103.0,1.11,0.11,0.0,0.78,0.89,40.9,0.22,0.44,0.0,0.0,1.44,0.44,0.0,0.0,1.11,0.0,0.0,0.0,6.89,1.11,1.44,43.5,2022-05-30,Defensive Midfield,2000000.0
25.0,13,9,683,7.6,0.0,2.11,0.79,37.5,0.0,0.0,22.3,0.13,0.0,0.0,29.9,40.4,73.9,479.6,137.5,15.8,18.4,85.7,10.9,13.8,79.0,2.63,6.45,40.8,0.13,2.76,2.24,0.92,0.13,3.42,40.4,35.1,5.26,1.84,0.26,0.92,1.05,1.71,0.39,0.92,0.0,0.26,29.9,0.26,0.53,3.82,2.89,0.53,0.26,0.0,0.13,0.0,0.13,0.13,0.0,0.0,0.0,0.0,0.0,1.45,0.92,0.39,0.66,0.39,0.39,1.32,30.0,0.92,0.92,0.0,0.92,0.66,2.11,0.0,0.0,54.2,0.13,5.13,30.1,23.0,3.03,49.3,38.6,190.7,106.7,6.71,2.11,0.66,3.42,1.84,38.0,6.32,0.0,0.0,0.0,0.92,3.03,0.13,1.05,0.92,0.0,0.0,0.0,6.97,0.66,1.84,26.3,2022-03-15,Defensive Midfield,9000000.0
25.0,13,3,369,4.1,1.0,1.95,0.49,25.0,0.13,0.5,20.1,0.24,0.0,0.0,44.9,54.4,82.5,816.8,142.2,19.8,22.7,87.1,18.8,21.2,88.5,5.12,7.8,65.6,0.0,0.73,2.2,2.2,0.0,4.39,54.4,52.2,2.2,0.24,0.0,3.41,0.73,1.22,0.24,0.98,0.0,0.49,44.9,0.24,0.49,1.71,1.22,0.24,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.0,0.0,0.24,0.0,1.95,0.98,0.98,0.49,0.49,0.98,1.71,57.1,0.73,1.22,0.24,0.98,1.22,3.17,0.49,0.0,68.3,0.24,13.9,38.3,21.7,2.2,65.9,50.5,324.9,163.7,7.56,3.17,0.24,1.46,1.95,51.5,5.85,0.0,0.0,0.0,0.24,3.17,0.0,0.73,0.98,0.0,0.0,0.0,9.02,0.24,0.98,20.0,2022-03-15,Defensive Midfield,9000000.0
25.0,23,8,944,10.5,1.0,0.38,0.29,75.0,0.25,0.33,24.4,0.0,0.0,0.0,61.1,67.7,90.3,1325.6,279.0,19.0,20.5,92.6,29.5,31.8,92.8,12.0,13.5,88.7,0.0,0.67,6.38,0.67,0.0,4.57,67.7,65.1,2.57,2.57,0.0,3.05,0.29,0.0,0.0,0.0,0.0,0.0,61.1,0.0,1.33,1.52,1.24,0.0,0.0,0.0,0.19,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.95,2.1,1.43,1.05,0.48,1.52,2.95,51.6,1.43,2.57,0.76,1.81,0.95,3.9,0.67,0.1,76.6,2.95,18.0,52.9,11.6,0.19,74.3,52.8,283.1,111.4,3.9,0.76,0.1,0.48,0.67,54.9,0.67,0.57,0.0,0.0,2.76,1.43,0.0,0.29,2.1,0.0,0.0,0.0,10.9,0.95,1.62,37.0,2021-12-28,Defensive Midfield,9000000.0
27.0,26,21,1817,20.2,4.0,1.49,0.35,23.3,0.13,0.57,17.5,0.05,0.0,0.0,41.2,50.0,82.3,731.9,207.7,18.8,21.0,89.4,16.7,19.7,84.9,4.6,7.38,62.4,0.1,0.5,4.31,0.45,0.0,4.41,50.0,49.0,1.04,0.89,0.2,0.5,0.25,0.0,0.0,0.0,0.0,0.15,41.2,0.25,1.09,1.53,1.04,0.0,0.1,0.2,0.15,0.05,0.25,0.1,0.0,0.0,0.15,0.0,0.0,2.08,1.63,1.14,0.89,0.05,0.59,1.44,41.4,0.84,1.63,0.4,1.24,2.28,4.36,2.43,0.1,60.7,3.76,17.5,37.2,9.7,1.53,59.7,34.9,172.8,81.7,3.12,1.14,0.05,0.4,0.25,37.7,1.19,0.25,0.05,0.0,2.08,0.84,0.1,0.25,1.63,0.0,0.0,0.0,11.3,2.08,1.09,65.6,2022-03-24,Defensive Midfield,13000000.0
23.0,36,29,2504,27.8,6.0,2.77,0.9,32.5,0.08,0.24,17.6,0.0,0.0,0.0,45.8,52.5,87.3,729.0,176.9,25.3,27.5,92.0,15.5,17.4,88.7,3.78,5.14,73.4,0.14,1.26,4.35,1.22,0.07,4.57,52.5,50.2,2.34,1.01,0.22,0.76,0.5,0.4,0.14,0.07,0.07,0.43,45.8,0.07,1.12,3.67,2.66,0.11,0.32,0.32,0.14,0.11,0.22,0.18,0.0,0.0,0.04,0.0,0.0,1.91,1.19,0.58,0.9,0.43,0.68,1.83,37.3,1.15,0.79,0.04,0.76,1.37,3.27,0.25,0.0,66.8,0.5,8.02,39.0,25.5,4.46,64.8,52.4,240.7,141.5,7.3,2.77,0.83,2.27,2.19,51.8,6.19,0.04,0.0,0.0,1.08,1.73,0.11,0.5,1.19,0.0,0.0,0.0,7.41,0.4,0.9,30.6,2022-05-30,Defensive Midfield,25000000.0
26.0,31,31,2663,29.6,0.0,1.25,0.27,21.6,0.0,0.0,26.6,0.07,0.0,0.0,32.0,42.6,75.0,719.7,180.1,11.8,13.9,84.7,11.5,13.9,82.7,8.14,13.1,62.1,0.17,1.35,2.87,0.44,0.17,2.2,42.6,37.5,5.17,2.87,0.0,3.34,0.84,2.2,0.88,1.08,0.14,0.1,32.0,0.14,1.32,2.36,1.01,0.98,0.14,0.07,0.1,0.07,0.37,0.14,0.14,0.07,0.0,0.0,0.03,2.16,1.25,0.74,1.08,0.34,0.57,1.93,29.8,1.35,1.82,0.17,1.66,1.59,3.75,0.81,0.03,53.5,1.42,9.66,34.2,12.1,0.64,48.8,32.9,168.5,69.8,3.28,0.81,0.1,0.98,1.22,31.5,1.55,0.44,0.0,0.0,2.4,1.72,0.0,0.84,1.25,0.0,0.03,0.0,9.59,1.05,1.22,46.3,2021-12-30,Defensive Midfield,15000000.0
